,Comment,Sentiment
0,sorry video got delayed sick video frequency better get skills create remarkable impact software development data science check https,Neutral
1,story every budget matter party ruling ruling party historical budget opposition budget cma syllabus increased aaam jaanta ghanta farak nehi padta,Neutral
2,trying avoid making new buys point get sucked bear market tough making money stocks institutional investors driving force behind selling although read article people grossed profits crash best stocks buy put watchlist,Neutral
3,way describing awesome simple enjoyed video learn many things whatever know thank youuuuu,Neutral
4,first time ever could understand elements clearly budget great analysis simplified version budget,Neutral
5,congratulations family,Neutral
6,next video recommendation analysing economic survey mean comparison video promised expected actually made possible focus comparison making new budget without knowing impact hope respond making video ca aspirant,Negative
7,personally think first focus government reduce import bill increasing capital expenditure achieved help government increase allocation sectors like education health help overall growth country,Neutral
8,last time early youtube different icon,Neutral
9,way dhruv smartly included central vista building capital investment part hilarious,Neutral
10,hey dhruv sir class student preparing clat exam days away saw video newly uploaded seeing revise budget thanks alot great teacher explainer inspiration,Neutral
11,congratulations sir accomplishments hard work paid,Negative
12,congratulations subs inspired lot people think critically factually remarkable journey thank much,Neutral
13,,Neutral
14,thank valuable information would like request could make video economic survey well,Neutral
15,congratulations million subscribers indians proud patriot like duty give respect,Positive
16,congratulations sir lots love support nepal,Neutral
17,watched many videos budget video much informative best part compare last year budget,Neutral
18,dhruv sir speech less outstaning thanks aware us reality behind every phenomenon,Negative
19,happy see growing thankyou great content watching since year full faith share,Positive
20,congrats crore since sub really long glory journey,Negative
21,awesome inspiring beautiful achievement great experience god bless,Positive
22,india nominal gdp trillion dollars gdp per capita dollars gdp ppp trillion dollars gdp growth rate,Neutral
23,hi dhruv think also make important difference collating information budgets announce spend inform used last year b cut budget,Neutral
24,congratulations lkhs subscribers uh deserve milestone dhruvv bhaiya,Neutral
25,exceptional good worth budget love support pm shri narendra modi ji transformation indian economy left uk countries behind proud pm,Neutral
26,kisi ko pta hai dhruv rathee pehle aam aadmi party main,Neutral
27,congratulations subscribers create excellent videos much superior extensive documentaries even free,Positive
28,overconfidence attitude fake talented real masterpiece sir,Neutral
29,channel always helpful keep uploading thank god bless,Neutral
30,thank thank dhruv providing video always provide great useful knowledge everytime every video video help make project class providing knowledge like tata case study video help make class project business studies video help make project government budget economics thank dhruv,Positive
31,real teacher many youths thank rathee,Neutral
32,education much fun person like dhruv sharing thank dhruv bhai bullshit pure gold content,Neutral
33,congratulation sir reaching million subscribers keep good job,Positive
34,lakh wow congratulations watching since subscribers well wishes,Neutral
35,congratulations subscribers thank much sharing beneficial knowledge awareness jai hind,Neutral
36,congratulations druv rathee bhaiya never disappoints us content,Neutral
37,impressed anaysis making easy understand viewers,Positive
38,good analytical video dhruv think spread awareness moving india international numeral system describing numbers etc help world understand indian data better vice versa takes tens years fully switch earlier start better,Neutral
39,really grateful years providing great content saw first really awesome see million subs right hope continue educate us looking forward something special million keep work,Neutral
40,congratulations dude finally hit whatever really appreciate hard work thanks lot increasing knowledge,Neutral
41,really appreciate content provides great lessons youth regarding current,Neutral
42,even budget allocation made ministry women child development mowcd nodal department government welfare women children increased inr crore inr crore allotted inr crore thereby marking hike per days ago,Neutral
43,congratulations well deserved thanks informative videos,Neutral
44,miss economics lecture ca miss economic explanation,Neutral
45,fine detailed dhruv,Neutral
46,best content able understand whole budget one video,Positive
47,congratulations dhruv rathee million subscriber complete inspiration,Neutral
48,waiting video since budget declaration thank much,Neutral
49,need clarified tax revenue tr budget deficit tr means total expense tr total exps tr includes tr capital expenditure,Neutral
50,watching day economics viva,Neutral
51,congratulations million watching ur vdos since u million nice see u grow n,Positive
52,big big congratulations rathee sir double triple favourite youtuber proudly say people,Neutral
